Class	CDF
0	0
100	0.5491803278688525
200	0.7213114754098361
300	0.8442622950819673
400	0.8934426229508197
500	0.9426229508196722
600	0.9508196721311476
700	0.959016393442623
800	0.9672131147540984
900	0.9672131147540984
1000	0.9672131147540984
1100	0.9672131147540984
1200	0.9836065573770493
1300	0.9918032786885247
1400	0.9918032786885247
1500	0.9918032786885247
1600	0.9918032786885247
1700	0.9918032786885247
1800	0.9918032786885247
1900	0.9918032786885247
2000	0.9918032786885247
2100	0.9918032786885247
2200	0.9918032786885247
2300	0.9918032786885247
2400	0.9918032786885247
2500	0.9918032786885247
2600	0.9918032786885247
2700	0.9918032786885247
2800	0.9918032786885247
2900	0.9918032786885247
3000	0.9918032786885247
3100	0.9918032786885247
3200	0.9918032786885247
3300	0.9918032786885247
3400	0.9918032786885247
3500	0.9918032786885247
3600	0.9918032786885247
3700	0.9918032786885247
3800	0.9918032786885247
3900	0.9918032786885247
4000	0.9918032786885247
4100	0.9918032786885247
4200	0.9918032786885247
4300	0.9918032786885247
4400	0.9918032786885247
4500	0.9918032786885247
4600	1.0